Plaats,Postcode,Gemeente,Provincie
Arnhem,6811-6845,Arnhem,Gelderland
Arnoud,2182-2182,Hillegom,Zuid-Holland
Arrien,7735-7735,Ommen,Overijssel
Arrierveld,7735-7735,Ommen,Overijssel
Arum,8822-8822,Zuidwest-Friesland,Friesland
Arwerd,9904-9904,Eemsdelta,Groningen
Asbroek,6089-6089,Leudal,Limburg
Asch,4115-4115,Buren,Gelderland
Asenray,6042-6042,Roermond,Limburg
Asperen,4147-4147,West Betuwe,Gelderland
Asschat,3831-3831,Leusden,Utrecht
Assel,7346-7346,Apeldoorn,Gelderland
Asselt,6071-6071,Roermond,Limburg
Assen,9401-9408,Assen,Drenthe
Assendelft,1566-1566,Zaanstad,Noord-Holland
Asten,5721-5721,Asten,Noord-Brabant
Atzeburen,8762-8762,Zuidwest-Friesland,Friesland
Augsbuurt,9292-9292,Noordoost-Friesland,Friesland
Augsbuurt-Lutjewoude / Lytsewâld,9292-9292,Noordoost-Friesland,Friesland
Augustinusga / Stynsgea,9284-9284,Achtkarspelen,Friesland
Austerlitz,3711-3711,Zeist,Utrecht
Avenhorn,1633-1633,Koggenland,Noord-Holland
Averlo,7433-7433,Deventer,Overijssel
Avest,7156-7156,Berkelland,Gelderland
Knaphof,4455-4455,Borsele,Zeeland
Azelo,7495-7495,Hof van Twente,Overijssel
Azewijn,7045-7045,Montferland,Gelderland
Baaiduinen / Baaidúnen,8884-8884,Terschelling,Friesland
Baaium / Baijum,8841-8841,Waadhoeke,Friesland
Baak,7223-7223,Bronckhorst,Gelderland
Baakhoven,6114-6114,Echt-Susteren,Limburg
Baaks,6369-6369,Simpelveld,Limburg
Baakwoning,2671-2671,Westland,Zuid-Holland
Baal,6685-6685,Lingewaard,Gelderland
Koekoek,4437-4437,Borsele,Zeeland
Baambrugge,1396-1396,De Ronde Venen,Utrecht
Baambrugse Zuwe,3645-3645,De Ronde Venen,Utrecht
Baamsum,9947-9947,Eemsdelta,Groningen
Baanhoek (?),3361-3361,Sliedrecht,Zuid-Holland
Baard /Baerd,8834-8834,Leeuwarden,Friesland
Baarderburen / Baardbuorren,8822-8822,Zuidwest-Friesland,Friesland
Kwadendamme,4434-4434,Borsele,Zeeland
Baarle-Nassau,5111-5111,Baarle-Nassau,Noord-Brabant
Baarlo,5991-5991,Peel en Maas,Limburg
Baarlo,8372-8372,Steenwijkerland,Overijssel
Baarlo,8064-8064,Zwartewaterland,Overijssel
Baarn,3741-3744,Baarn,Utrecht
Baars,8336-8336,Steenwijkerland,Overijssel
Baarschot,5756-5756,Deurne,Noord-Brabant
Baarschot,5087-5087,Hilvarenbeek,Noord-Brabant
Baarschot,4849-4849,Oosterhout,Noord-Brabant
Langeweegje,4434-4434,Borsele,Zeeland
Baarstraat,6017-6017,Maasgouw,Limburg
Babberich,6909-6909,Zevenaar,Gelderland
Baburen,8765-8765,Zuidwest-Friesland,Friesland
Babylonienbroek,4269-4269,Altena,Noord-Brabant
Badhoevedorp,1171-1171,Haarlemmermeer,Noord-Holland
Bad Nieuweschans,9693-9693,Oldambt,Groningen
Baexem,6095-6095,Leudal,Limburg
Baflo,9953-9953,Het Hogeland,Groningen
Bahr,6988-6988,Zevenaar,Gelderland
Bakel,5761-5761,Gemert-Bakel,Noord-Brabant
Bakelsebrug,5761-5761,Gemert-Bakel,Noord-Brabant
Lewedorp,4456-4456,Borsele,Zeeland
Bakertand,5026-5026,Tilburg,Noord-Brabant
Bakhuisbos,8181-8181,Heerde,Gelderland
Bakhuizen / Bakhuzen,8574-8574,De Fryske Marren,Friesland
Bakkerom,9362-9362,Westerkwartier,Groningen
Nieuwdorp,4455-4455,Borsele,Zeeland
Bakkeveen / Bakkefean,9243-9243,Opsterland,Friesland
Balgoij,6613-6613,Wijchen,Gelderland
Nisse,4443-4443,Borsele,Zeeland
Balinge,9437-9437,Midden-Drenthe,Drenthe
Balk,8561-8561,De Fryske Marren,Friesland
Balkbrug,7707-7707,Hardenberg,Overijssel
Ballast,7741-7741,Coevorden,Drenthe
Balleman,4855-4855,Alphen-Chaam,Noord-Brabant
Ballingbuur / Ballingbuer,8511-8511,De Fryske Marren,Friesland
Balloo,9458-9458,Aa en Hunze,Drenthe
Ballum,9162-9162,Ameland,Friesland
Balmahuizen,9884-9884,Westerkwartier,Groningen
Baneheide,6353-6353,Simpelveld,Limburg
Banholt,6262-6262,Eijsden-Margraten,Limburg
Bankert,5763-5763,Gemert-Bakel,Noord-Brabant
Bant,8314-8314,Noordoostpolder,Flevoland
Bantega / Bantegea,8538-8538,De Fryske Marren,Friesland
Barchem,7244-7244,Lochem,Gelderland
Barendrecht,2991-2993,Barendrecht,Zuid-Holland
Barendrechtse Veer,2992-2992,Barendrecht,Zuid-Holland
Bareveld,9512-9512,Aa en Hunze,Drenthe
Bargebek / De Bargebek,8563-8563,De Fryske Marren,Friesland
Barger-Compascuum,7884-7884,Emmen,Drenthe
Barger-Erfscheidenveen,7814-7833,Emmen,Drenthe
Barger-Oosterveen,7891-7891,Emmen,Drenthe
Barlage,9591-9591,Stadskanaal,Groningen
Barlaque,4793-4793,Moerdijk,Noord-Brabant
Barlo,7122-7122,Aalten,Gelderland
Barneveld,3771-3773,Barneveld,Gelderland
Barnflair,9561-9561,Westerwolde,Groningen
Barrier,6343-6343,Voerendaal,Limburg
Barsbeek,8326-8326,Steenwijkerland,Overijssel
Barsingerhorn,1768-1768,Hollands Kroon,Noord-Holland
Bartlehiem,9178-9074,Noordoost-Friesland,Friesland
Bartlehiem,9051-9051,Leeuwarden,Friesland
Bartlehiem,9091-9091,Tytsjerksteradiel,Friesland
Bartlehiem,9064-9064,Tytsjerksteradiel,Friesland
Barwoutswaarder,3449-3449,Woerden,Utrecht
Basse,8342-8342,Steenwijkerland,Overijssel
Basserveld,8338-8338,Steenwijkerland,Overijssel
Batenburg,6634-6634,Wijchen,Gelderland
Oudelande,4436-4436,Borsele,Zeeland
Bathmen,7437-7437,Deventer,Overijssel
Battenoord,3244-3244,Goeree-Overflakkee,Zuid-Holland
Bavel,4854-4854,Breda,Noord-Brabant
Bavel AC,4859-4859,Alphen-Chaam,Noord-Brabant
Bavinkel,7607-7607,Almelo,Overijssel
Bazuin,7921-7921,De Wolden,Drenthe
Bears / Beers,9025-9025,Leeuwarden,Friesland
Beckum,7554-7554,Hengelo,Overijssel
Bedaf,5406-5406,Maashorst,Noord-Brabant
Bedum,9781-9781,Het Hogeland,Groningen
Beegden,6099-6099,Maasgouw,Limburg
Beek,6191-6191,Beek,Limburg
Beek,6573-6573,Berg en Dal,Gelderland
Beek,7037-7037,Montferland,Gelderland
Beek,5815-5815,Venray,Limburg
Beek en Donk,5741-5741,Laarbeek,Noord-Brabant
Beekbergen,7361-7361,Apeldoorn,Gelderland
Beekdorp,7597-7597,Dinkelland,Overijssel
Beekheuvel,5853-5853,Bergen,Limburg
Beekkant,6095-6095,Leudal,Limburg
Beemdkant,5737-5737,Laarbeek,Noord-Brabant
Beemte,7341-7341,Apeldoorn,Gelderland
Beemte Broekland,7341-7341,Apeldoorn,Gelderland
Beerenplaat,3209-3209,Nissewaard,Zuid-Holland
Beers,5437-5437,Land van Cuijk,Noord-Brabant
“Beers NB”,5437-5437,Land van Cuijk,Noord-Brabant
Beerschoten,3971-3971,Utrechtse Heuvelrug,Utrecht
Beersterhoogen,9687-9687,Oldambt,Groningen
Beerta,9686-9686,Oldambt,Groningen
Beertsenhoven,6321-6321,Gulpen-Wittem,Limburg
Beerze,7736-7736,Ommen,Overijssel
Beerzerveld,7685-7685,Ommen,Overijssel
Beesd,4153-4153,West Betuwe,Gelderland
Beesel,5954-5954,Beesel,Limburg
Beets,1475-1475,Edam-Volendam,Noord-Holland
Beetsterzwaag /Beetstersweach,9244-9244,Opsterland,Friesland
Behelp,5725-5725,Asten,Noord-Brabant
Beilen,9411-9413,Midden-Drenthe,Drenthe
Beilervaart,9411-9411,Midden-Drenthe,Drenthe
Beinsdorp,2144-2144,Haarlemmermeer,Noord-Holland
Bekelaar,5731-5731,Geldrop-Mierlo,Noord-Brabant
Bekenes,3449-3449,Woerden,Utrecht
Bekveld,7255-7255,Bronckhorst,Gelderland
Ovezande,4441-4441,Borsele,Zeeland
Belfeld,5951-5951,Venlo,Limburg
Belgenhoek,5985-5985,Peel en Maas,Limburg
Belgeren,5756-5756,Deurne,Noord-Brabant
Bellingwolde,9695-9695,Westerwolde,Groningen
Beltrum,7156-7156,Berkelland,Gelderland
Belt-Schutsloot,8066-8066,Steenwijkerland,Overijssel
Belvert,5076-5076,Oisterwijk,Noord-Brabant
Bemelen,6268-6268,Eijsden-Margraten,Limburg
Bemmel,6681-6681,Lingewaard,Gelderland
