Plaats,Postcode,Gemeente,Provincie
Rotterdam,3011-3089,Rotterdam,Zuid-Holland
Rotterdam,3165-3165,Albrandswaard,Zuid-Holland
“Rotterdam-Albrandswaard”,3165-3165,Albrandswaard,Zuid-Holland
Rottevalle /,9221-9221,Smallingerland,Friesland
Rottefalle,,,
Rottum,8461-8461,De Fryske Marren,Friesland
Rottum,9998-9998,Het Hogeland,Groningen
Rouveen,7954-7954,Staphorst,Overijssel
(De) Val (?),4543-4543,Terneuzen,Zeeland
Rozenburg,1437-1437,Haarlemmermeer,Noord-Holland
Rozenburg,3181-3181,Rotterdam,Zuid-Holland
Rozendaal,2851-2851,Krimpenerwaard,Zuid-Holland
Rozendaal,6891-6891,Rozendaal,Gelderland
Rucphen,4715-4715,Rucphen,Noord-Brabant
Rugdijk,5011-5011,Tilburg,Noord-Brabant
Ruigahuizen /,8564-8564,De Fryske Marren,Friesland
Rûgehúzen,,,
Ruigenhoek,2211-2211,Noordwijk,Zuid-Holland
Ruigeweide,3421-3421,Oudewater,Utrecht
Ruigezand,9885-9885,Westerkwartier,Groningen
Ruigoord,1047-1047,Amsterdam,Noord-Holland
Ruimel,5271-5271,Sint-Michielsgestel,Noord-Brabant
Ruinen,7963-7963,De Wolden,Drenthe
Ruinen,7991-7991,Westerveld,Drenthe
Ruinerweide,7963-7963,De Wolden,Drenthe
Ruinerwold,7961-7961,De Wolden,Drenthe
Drieschouwen,4571-4571,Terneuzen,Zeeland
Ruischerbrug,9723-9723,Groningen,Groningen
Ruiten,9619-9619,Midden-Groningen,Groningen
Ruitenveen,7711-7711,Dalfsen,Overijssel
Rukven,5473-5473,Bernheze,Noord-Brabant
Rul,5591-5591,Heeze-Leende,Noord-Brabant
Rullen,5674-5674,"Nuenen, Gerwen en Nederwetten",Noord-Brabant
Rumpt,4156-4156,West Betuwe,Gelderland
Rusven,5411-5411,Maashorst,Noord-Brabant
Rutbeek,7546-7546,Enschede,Overijssel
Rutten,8313-8313,Noordoostpolder,Flevoland
Ruurlo,7261-7261,Berkelland,Gelderland
Ryptsjerk /,9256-9256,Tytsjerksteradiel,Friesland
Rijperkerk,,,
Saaksum,9886-9886,Westerkwartier,Groningen
Saasveld,7597-7597,Dinkelland,Overijssel
Saaxumhuizen,9957-9957,Het Hogeland,Groningen
Salverd /,8801-8801,Waadhoeke,Friesland
Salvert,,,
Sambeek,5836-5836,Land van Cuijk,Noord-Brabant
Sandebuur,9315-9315,Noordenveld,Drenthe
Sandfirden /,8613-8613,Zuidwest-Friesland,Friesland
Sânfurd,,,
Santfort,6014-6014,Leudal,Limburg
Santpoort-Noord,2071-2071,Velsen,Noord-Holland
Santpoort-Zuid,2081-2082,Velsen,Noord-Holland
Sappemeer,9611-9611,Midden-Groningen,Groningen
Driewegen,4521-4521,Terneuzen,Zeeland
Griete,4543-4543,Terneuzen,Zeeland
Sassenheim,2171-2172,Teylingen,Zuid-Holland
Sauwerd,9771-9771,Het Hogeland,Groningen
Schaapbulten,9937-9937,Eemsdelta,Groningen
Schaaphok,9624-9624,Midden-Groningen,Groningen
Schaapsbrug,6089-6089,Leudal,Limburg
Schaarsbergen,6816-6816,Arnhem,Gelderland
Schadewijk,5521-5521,Eersel,Noord-Brabant
Schadijk,5964-5964,Horst aan de Maas,Limburg
Schadron,5408-5408,Maashorst,Noord-Brabant
Schaesberg,6371-6372,Landgraaf,Limburg
Schafelt,5991-5991,Peel en Maas,Limburg
Schafferden,5821-5821,Land van Cuijk,Noord-Brabant
Schaft,5556-5556,Valkenswaard,Noord-Brabant
Schagen,1741-1742,Schagen,Noord-Holland
Schagerbrug,1751-1751,Schagen,Noord-Holland
Schaijk,5374-5374,Maashorst,Noord-Brabant
Schalkhaar,7433-7433,Deventer,Overijssel
Schalkwijk,3998-3998,Houten,Utrecht
Schalsum /,8813-8813,Waadhoeke,Friesland
Skalsum,,,
Schaluinen,5111-5111,Baarle-Nassau,Noord-Brabant
Schandelo,5941-5941,Venlo,Limburg
Schans,5758-5758,Deurne,Noord-Brabant
Schans,4751-4751,Halderberge,Noord-Brabant
Schans,6088-6088,Leudal,Limburg
Schans,4251-4251,Altena,Noord-Brabant
Schans,6931-6931,Westervoort,Gelderland
Hasjesstraat,4542-4542,Terneuzen,Zeeland
Hoek,4542-4542,Terneuzen,Zeeland
Schardam,1476-1476,Edam-Volendam,Noord-Holland
Hoek van de Dijk,4543-4543,Terneuzen,Zeeland
Scharl /,8721-8721,Zuidwest-Friesland,Friesland
Skarl,,,
Scharmer,9616-9616,Midden-Groningen,Groningen
Scharneburen,8761-8761,Zuidwest-Friesland,Friesland
Scharnegoutum /,8629-8629,Zuidwest-Friesland,Friesland
Skearnegoutum,,,
Scharsterbrug /,8517-8517,De Fryske Marren,Friesland
Skarsterbrêge,,,
Scharwoude,1634-1634,Koggenland,Noord-Holland
Schaveren,8166-8166,Epe,Gelderland
Scheemda,9679-9679,Oldambt,Groningen
Scheemdermeer,9681-9681,Oldambt,Groningen
Scheemderzwaag,9679-9679,Oldambt,Groningen
Scheendijk,3621-3621,Stichtse Vecht,Utrecht
Scheepstal,5709-5709,Helmond,Noord-Brabant
Scheerwolde,8371-8371,Steenwijkerland,Overijssel
Scheide,5809-5809,Venray,Limburg
Hoogedijk,4542-4542,Terneuzen,Zeeland
Schelfhorst,9765-9765,Tynaarlo,Drenthe
Isabellahaven,4553-4553,Terneuzen,Zeeland
Schellingwoude,1023-1023,Amsterdam,Noord-Holland
Schellinkhout,1697-1697,Drechterland,Noord-Holland
Schelluinen,4209-4209,Molenlanden,Zuid-Holland
Schelm,5758-5758,Deurne,Noord-Brabant
Schenkeldijk,3284-3284,Hoeksche Waard,Zuid-Holland
Schependom,7271-7271,Berkelland,Gelderland
Schermerhorn,1636-1636,Alkmaar,Noord-Holland
Kampersche Hoek,4543-4543,Terneuzen,Zeeland
Scherpenering,5513-5513,Eersel,Noord-Brabant
Kijkuit,4571-4571,Terneuzen,Zeeland
Scherpenzeel,3925-3925,Scherpenzeel,Gelderland
Scherpenzeel /,8483-8483,Weststellingwerf,Friesland
Skerpenseel,,,
Schettens /,8744-8744,Zuidwest-Friesland,Friesland
Skettens,,,
Scheulder,6307-6307,Eijsden-Margraten,Limburg
Schey,6255-6255,Eijsden-Margraten,Limburg
Schiedam,3101-3125,Schiedam,Zuid-Holland
Schiermonnikoog /,9166-9166,Schiermonnikoog,Friesland
Skiermûntseach,,,
Schietecoven,6235-6235,Meerssen,Limburg
Schieven,9404-9404,Assen,Drenthe
(De) Schifpot,9893-9893,Westerkwartier,Groningen
Schijf,4721-4722,Rucphen,Noord-Brabant
Schijndel,5481-5483,Meierijstad,Noord-Brabant
Schilberg,6101-6102,Echt-Susteren,Limburg
Schilberg,6255-6255,Eijsden-Margraten,Limburg
Schilberg,6277-6277,Gulpen-Wittem,Limburg
Schildwolde,9626-9626,Midden-Groningen,Groningen
Schillersheide,6014-6014,Leudal,Limburg
Schilligeham,9951-9951,Het Hogeland,Groningen
Schimmelarij,7845-7845,Coevorden,Drenthe
Schimmert,6333-6333,Beekdaelen,Limburg
Schin op Geul,6305-6305,Valkenburg aan de Geul,Limburg
Schinnen,6365-6365,Beekdaelen,Limburg
Schinveld,6451-6451,Beekdaelen,Limburg
Schipborg,9469-9469,Aa en Hunze,Drenthe
Schiphol,1117-1118,Haarlemmermeer,Noord-Holland
Schiphol-Rijk,1119-1119,Haarlemmermeer,Noord-Holland
Schipluiden,2636-2636,Midden-Delfland,Zuid-Holland
Schipperskerk,6124-6124,Sittard-Geleen,Limburg
Schoelieberg,4635-4635,Woensdrecht,Noord-Brabant
Schokland,8319-8319,Noordoostpolder,Flevoland
Schoolbuurt,7475-7475,Hof van Twente,Overijssel
Schoonbron,6305-6305,Valkenburg aan de Geul,Limburg
Koewacht,4576-4576,Terneuzen,Zeeland
Koninginnehaven,4522-4522,Terneuzen,Zeeland
Schoonebeek,7761-7761,Emmen,Drenthe
Schoonenburg,6611-6611,Heumen,Gelderland
Schoonhoven,2871-2872,Krimpenerwaard,Zuid-Holland
Schoonloo,9443-9443,Aa en Hunze,Drenthe
Schoonoord,7848-7848,Coevorden,Drenthe
Schoonouwen,2821-2821,Krimpenerwaard,Zuid-Holland
Schoonrewoerd,4145-4145,Vijfheerenlanden,Utrecht
Schoor,6031-6031,Nederweert,Limburg
Schoor,5492-5492,Meierijstad,Noord-Brabant
Schoor,5809-5809,Venray,Limburg
Schoordijk,6021-6021,Cranendonck,Noord-Brabant
Schoorl,1871-1871,Bergen,Noord-Holland
Schoorldam,1749-1749,Schagen,Noord-Holland
Schoorstraat,5071-5071,Tilburg,Noord-Brabant
Schoorveld,5993-5993,Peel en Maas,Limburg
Schoot,5505-5505,Veldhoven,Noord-Brabant
Kwakkel,4543-4543,Terneuzen,Zeeland
Magrette,4571-4571,Terneuzen,Zeeland
Schoterzijl /,8538-8538,De Fryske Marren,Friesland
Skoattersyl,,,
Schotsheuvel,5391-5391,'s-Hertogenbosch,Noord-Brabant
Schottershuizen,7921-7921,De Wolden,Drenthe
Schouw,5761-5761,Gemert-Bakel,Noord-Brabant
Schouw /,8567-8567,De Fryske Marren,Friesland
Skou,,,
Schouwen,9962-9962,Het Hogeland,Groningen
Schouwerzijl,9962-9962,Het Hogeland,Groningen
Schraard /,8746-8746,Zuidwest-Friesland,Friesland
Skraard,,,
Schrapveen,7925-7925,De Wolden,Drenthe
Schreierswijk,9514-9514,Aa en Hunze,Drenthe
Mauritsfort,4542-4542,Terneuzen,Zeeland
Nieuwemolen,4576-4576,Terneuzen,Zeeland
Schuilenburg,7447-7447,Hellendoorn,Overijssel
Schuinesloot,7777-7777,Hardenberg,Overijssel
Schurenberg,6432-6432,Heerlen,Limburg
Schuring,3281-3281,Hoeksche Waard,Zuid-Holland
Schutsboom,5763-5763,Gemert-Bakel,Noord-Brabant
Schutwijk,7891-7891,Emmen,Drenthe
Schuwacht,2941-2941,Krimpenerwaard,Zuid-Holland
Schweiberg,6281-6281,Gulpen-Wittem,Limburg
Sebaldeburen,9862-9862,Westerkwartier,Groningen
Seerijp /,8892-8892,Terschelling,Friesland
Seeryp,,,
Sellingen,9551-9551,Westerwolde,Groningen
Sellingerbeetse,9563-9563,Westerwolde,Groningen
Selmien,9247-9247,Opsterland,Friesland
Selwerd,9738-9738,Groningen,Groningen
Selwerd,9883-9883,Westerkwartier,Groningen
Sengelsbroek,5575-5575,Bergeijk,Noord-Brabant
Nieuwland,4521-4521,Terneuzen,Zeeland
Nieuwlandse Molen,4521-4521,Terneuzen,Zeeland
Seters,4849-4849,Oosterhout,Noord-Brabant
Sevenum,5975-5975,Horst aan de Maas,Limburg
Sexbierum /,8855-8855,Waadhoeke,Friesland
Seisbierrum,,,
Sibbe,6301-6301,Valkenburg aan de Geul,Limburg
Sibculo,7693-7693,Hardenberg,Overijssel
Sibculo,7676-7676,Twenterand,Overijssel
Siberie,7934-7934,Hoogeveen,Drenthe
Sibrandabuorren,8647-8647,Zuidwest-Friesland,Friesland
Sibrandabuorren,8647-8647,Zuidwest-Friesland,Friesland
Sibrandahûs /,9106-9106,Dantumadiel,Friesland
Sijbrandahuis,,,
Siddeburen,9628-9628,Midden-Groningen,Groningen
Siebengewald,5853-5853,Bergen,Limburg
Siegerswoude /,9248-9248,Opsterland,Friesland
Sigerswâld,,,
Sigerswâld /,9263-9263,Tytsjerksteradiel,Friesland
Siegerswoude,,,
Sijbekarspel,1655-1655,Medemblik,Noord-Holland
Silvolde,7064-7064,Oude IJsselstreek,Gelderland
Simonshaven,3212-3212,Nissewaard,Zuid-Holland
Simpelveld,6369-6369,Simpelveld,Limburg
Sinderen,7065-7065,Oude IJsselstreek,Gelderland
Othene,4533-4533,Terneuzen,Zeeland
Sinselbeek,6286-6286,Gulpen-Wittem,Limburg
Sint Agatha,5435-5435,Land van Cuijk,Noord-Brabant
Sint Andries,6624-6624,Maasdriel,Gelderland
Oude Polder,4574-4574,Terneuzen,Zeeland
Overslag,4575-4575,Terneuzen,Zeeland
St.-Annaparochie /,9076-9076,Waadhoeke,Friesland
Sint-Anne,,,
Sint Annen,9796-9796,Groningen,Groningen
Sint Annerhuisjes,9781-9781,Het Hogeland,Groningen
Sint Anthoniepolder,3299-3299,Hoeksche Waard,Zuid-Holland
Sint Anthonis,5845-5845,Land van Cuijk,Noord-Brabant
Sint Antoniusbank,6268-6268,Eijsden-Margraten,Limburg
Sint Geertruid,6265-6265,Eijsden-Margraten,Limburg
Sint Hubert,5454-5454,Land van Cuijk,Noord-Brabant
Sint Isidorushoeve,7482-7482,Haaksbergen,Overijssel
St.-Jacobiparochie /,9079-9079,Waadhoeke,Friesland
Sint Jabik,,,
Passluis,4554-4554,Terneuzen,Zeeland
Sint Jansklooster,8326-8326,Steenwijkerland,Overijssel
Philippine,4553-4553,Terneuzen,Zeeland
Sint Joost,6111-6112,Echt-Susteren,Limburg
Poonhaven,4543-4543,Terneuzen,Zeeland
Posthoorn,4553-4553,Terneuzen,Zeeland
Sint Maarten,1744-1744,Schagen,Noord-Holland
Sint Maartensbrug,1752-1752,Schagen,Noord-Holland
Sint Maartensvlotbrug,1753-1753,Schagen,Noord-Holland
Sint Maartenszee,1753-1753,Schagen,Noord-Holland
Sint Nicolaasga /,8521-8521,De Fryske Marren,Friesland
Sint Nyk,,,
Sint Odilienberg,6077-6077,Roerdalen,Limburg
Sint Pancras,1834-1834,Dijk en Waard,Noord-Holland
Sint Vitusholt,9674-9674,Oldambt,Groningen
Reuzenhoek,4543-4543,Terneuzen,Zeeland
Sintjohannesga /,8464-8464,De Fryske Marren,Friesland
Sint Jansgea,,,
Rode Sluis,4575-4575,Terneuzen,Zeeland
Sint-Michielsgestel,5271-5271,Sint-Michielsgestel,Noord-Brabant
Sint-Oedenrode,5491-5492,Meierijstad,Noord-Brabant
Sas van Gent,4551-4551,Terneuzen,Zeeland
Sion,2286-2286,Rijswijk,Zuid-Holland
Schapenbout,4541-4541,Terneuzen,Zeeland
Sittard,6131-6137,Sittard-Geleen,Limburg
Sjungadijk /,8742-8742,Zuidwest-Friesland,Friesland
Sjungadyk,,,
Skillaerd /,9022-9022,Leeuwarden,Friesland
Schillaard,,,
Skingen /,8816-8816,Waadhoeke,Friesland
Schingen,,,
Skrins /,8835-8835,Leeuwarden,Friesland
Schrins,,,
Skûlenboarch /,9261-9261,Tytsjerksteradiel,Friesland
Schuilenburg,,,
Skyldum,8831-8831,Waadhoeke,Friesland
Slabroek,5406-5406,Maashorst,Noord-Brabant
Slagharen,7776-7776,Hardenberg,Overijssel
Slaperstil,9745-9745,Groningen,Groningen
Slappeterp,9037-9037,Waadhoeke,Friesland
Sleeburg,6611-6611,Heumen,Gelderland
Sleen,7841-7841,Coevorden,Drenthe
Sleeuwijk,4254-4254,Altena,Noord-Brabant
Slegge,9563-9563,Westerwolde,Groningen
Slek,6102-6102,Echt-Susteren,Limburg
Slenaken,6277-6277,Gulpen-Wittem,Limburg
Slichtenhorst,3862-3862,Nijkerk,Gelderland
Sliedrecht,3361-3364,Sliedrecht,Zuid-Holland
Sliffert,5657-5657,Eindhoven,Noord-Brabant
Slijkenburg /,8489-8489,Weststellingwerf,Friesland
Slikenboarch,,,
Slijk-Ewijk,6677-6677,Overbetuwe,Gelderland
Sluiskil,4541-4541,Terneuzen,Zeeland
Slijkwell,5325-5325,Maasdriel,Gelderland
Slikkenburg,4661-4661,Bergen op Zoom,Noord-Brabant
Spui,4539-4539,Terneuzen,Zeeland
Slikkendam,2431-2431,Nieuwkoop,Zuid-Holland
Slingenberg,7951-7951,Staphorst,Overijssel
Slochteren,9621-9621,Midden-Groningen,Groningen
Sloot,5757-5757,Deurne,Noord-Brabant
Slootdorp,1774-1774,Hollands Kroon,Noord-Holland
Sloten /,8556-8556,De Fryske Marren,Friesland
Sleat,,,
Sluipwijk,2811-2811,Bodegraven-Reeuwijk,Zuid-Holland
Steenovens,4571-4571,Terneuzen,Zeeland
Stroodorpe,4541-4541,Terneuzen,Zeeland
Terneuzen,4531-4538,Terneuzen,Zeeland
Sluis,4128-4128,Vijfheerenlanden,Utrecht
Sluis 13,5712-5712,Someren,Noord-Brabant
Sluis 5,7707-7707,Hardenberg,Overijssel
Sluis 6,7701-7701,Hardenberg,Overijssel
Sluis 7,7701-7775,Hardenberg,Overijssel
Vaartwijk,4571-4571,Terneuzen,Zeeland
(De) Val (?),4543-4543,Terneuzen,Zeeland
Smakt,5817-5817,Venray,Limburg
Smal,5854-5854,Bergen,Limburg
Smalbroek,9411-9411,Midden-Drenthe,Drenthe
Smalbroek,9411-9411,Midden-Drenthe,Drenthe
Smalbroek,9411-9411,Westerveld,Drenthe
Smalle Ee /,9214-9214,Smallingerland,Friesland
Smelle Ie,,,
Smallebrugge /,8552-8552,Zuidwest-Friesland,Friesland
Smelbrêge,,,
Westdorpe,4554-4554,Terneuzen,Zeeland
Smeerling,9591-9591,Stadskanaal,Groningen
Smele,6598-6598,Gennep,Limburg
Smidstraat,6013-6013,Leudal,Limburg
Smilde,9422-9422,Midden-Drenthe,Drenthe
Smitshoek,2993-2993,Barendrecht,Zuid-Holland
's-Molenaarsbuurt,2401-2401,Alphen aan den Rijn,Zuid-Holland
Snakkerburen /,9083-9083,Leeuwarden,Friesland
Snakkerbuorren,,,
Sneek /,8601-8608,Zuidwest-Friesland,Friesland
Snits,,,
Sneidershoek,5511-5511,Eersel,Noord-Brabant
Snelleveld,4182-4182,West Betuwe,Gelderland
Snelrewaard,3425-3425,Oudewater,Utrecht
Snepseind,5688-5688,Oirschot,Noord-Brabant
Snijdersberg,6243-6243,Meerssen,Limburg
Snijders-Chaam,4861-4861,Alphen-Chaam,Noord-Brabant
Snikzwaag /,8505-8505,De Fryske Marren,Friesland
Sniksweach,,,
Snodenhoek,6661-6661,Overbetuwe,Gelderland
Snorrenhoef,3831-3831,Leusden,Utrecht
Soerendonk,6027-6027,Cranendonck,Noord-Brabant
Soest,3761-3768,Soest,Utrecht
Soestdijk,3761-3761,Soest,Utrecht
Soestduinen,3768-3768,Soest,Utrecht
Soesterberg,3769-3769,Soest,Utrecht
Soeterbeek,5991-5991,Peel en Maas,Limburg
Solwerd,9901-9901,Eemsdelta,Groningen
Someren,5711-5712,Someren,Noord-Brabant
Someren-Eind,5712-5712,Someren,Noord-Brabant
Someren-Heide,5712-5712,Someren,Noord-Brabant
Sommelsdijk,3245-3245,Goeree-Overflakkee,Zuid-Holland
Son,5691-5692,Son en Breugel,Noord-Brabant
Son en Breugel,5691-5692,Son en Breugel,Noord-Brabant
Sondel,8565-8565,De Fryske Marren,Friesland
Sonnega /,8478-8478,Weststellingwerf,Friesland
Sonnegea,,,
Sonniuswijk,5691-5691,Son en Breugel,Noord-Brabant
Sopsum,8805-8805,Waadhoeke,Friesland
Sorremorre /,8494-8494,Heerenveen,Friesland
Soarremoarre,,,
Spaanrijt,5571-5571,Bergeijk,Noord-Brabant
Spaansehoek,5133-5133,Goirle,Noord-Brabant
Spaanshuisken,6104-6104,Echt-Susteren,Limburg
Spaarndam,2063-2063,Haarlem,Noord-Holland
“Spaarndam gem. Haarlem”,2063-2063,Haarlem,Noord-Holland
Spaarndam,2064-2064,Haarlemmermeer,Noord-Holland
Spanbroek,1715-1715,Opmeer,Noord-Holland
Spanga,8382-8382,Weststellingwerf,Friesland
Spankeren,6956-6956,Rheden,Gelderland
Spannenburg /,8522-8522,De Fryske Marren,Friesland
Spannenburch,,,
Spannum,8843-8843,Waadhoeke,Friesland
Sparjebird /,9241-9241,Opsterland,Friesland
Sparjeburd,,,
Spaubeek,6176-6176,Beek,Limburg
Speers /,8647-8647,Zuidwest-Friesland,Friesland
Spears,,,
Spekhoek,7396-7396,Voorst,Gelderland
Spekklef,5841-5841,Land van Cuijk,Noord-Brabant
Spekt,5674-5674,"Nuenen, Gerwen en Nederwetten",Noord-Brabant
Spengen,3628-3628,Stichtse Vecht,Utrecht
Speuld,3852-3852,Ermelo,Gelderland
Speurgt,5761-5761,Gemert-Bakel,Noord-Brabant
Spier,9417-9417,Midden-Drenthe,Drenthe
Spier,7991-7991,Westerveld,Drenthe
Spierdijk,1641-1643,Koggenland,Noord-Holland
Spiesberg,5985-5985,Peel en Maas,Limburg
Spijk,4261-4261,Altena,Noord-Brabant
Spijk,9909-9909,Eemsdelta,Groningen
“Spijk Gn”,9909-9909,Eemsdelta,Groningen
Spijk,4211-4212,West Betuwe,Gelderland
Spijk,6917-6917,Zevenaar,Gelderland
Spijkenisse,3201-3208,Nissewaard,Zuid-Holland
Spijkerboor,9656-9656,Aa en Hunze,Drenthe
Spijkerboor,1458-1458,Wormerland,Noord-Holland
Spik,6042-6042,Roermond,Limburg
Spinolaberg,4661-4661,Bergen op Zoom,Noord-Brabant
Spitsbergen,9636-9636,Midden-Groningen,Groningen
Spitsendijk,8459-8459,Heerenveen,Friesland
Spoelwijk,2771-2771,Alphen aan den Rijn,Zuid-Holland
Sponturfwijk,7707-7707,Hardenberg,Overijssel
Spoolde,8041-8041,Zwolle,Overijssel
Spoorbuurt,1761-1761,Hollands Kroon,Noord-Holland
Spoordonk,5688-5688,Oirschot,Noord-Brabant
Sprang,5161-5161,Waalwijk,Noord-Brabant
Sprang-Capelle,5161-5161,Waalwijk,Noord-Brabant
Sprangsevaart,5171-5171,Loon op Zand,Noord-Brabant
Sprong /,8835-8835,Leeuwarden,Friesland
Wieuwens,,,
Sprundel,4714-4714,Rucphen,Noord-Brabant
Wulpenbek,4542-4542,Terneuzen,Zeeland
Spurkt,5995-5995,Peel en Maas,Limburg
St. Willebrord,4711-4711,Rucphen,Noord-Brabant
Stad aan 't Haringvliet,3243-3243,Goeree-Overflakkee,Zuid-Holland
Stad van Gerwen,5674-5674,"Nuenen, Gerwen en Nederwetten",Noord-Brabant
Stadse Dijk,4794-4794,Moerdijk,Noord-Brabant
Stadskanaal,9501-9503,Stadskanaal,Groningen
Stadterij,7903-7903,Hoogeveen,Drenthe
Stakenborg,9545-9545,Westerwolde,Groningen
Stampersgat,4754-4754,Halderberge,Noord-Brabant
Standdaarbuiten,4758-4758,Moerdijk,Noord-Brabant
Staphorst,7951-7951,Staphorst,Overijssel
Starnmeer,1488-1488,Alkmaar,Noord-Holland
Startenhuizen,9924-9925,Het Hogeland,Groningen
Startenhuizen,9924-9924,Eemsdelta,Groningen
Startwijk,5835-5835,Land van Cuijk,Noord-Brabant
Zaamslag,4543-4543,Terneuzen,Zeeland
Statendam,4931-4931,Geertruidenberg,Noord-Brabant
Zaamslagveer,4543-4543,Terneuzen,Zeeland
Zandplaat,4542-4542,Terneuzen,Zeeland
Staverden,3852-3852,Ermelo,Gelderland
Stavoren /,8715-8715,Zuidwest-Friesland,Friesland
Starum,,,
Stedum,9921-9921,Eemsdelta,Groningen
Steeg,5975-5975,Horst aan de Maas,Limburg
Steelhoven,4921-4921,Drimmelen,Noord-Brabant
Steenbergen,7921-7921,De Wolden,Drenthe
Steenbergen,9307-9307,Noordenveld,Drenthe
Steenbergen,4651-4652,Steenbergen,Noord-Brabant
Steendam,9629-9629,Midden-Groningen,Groningen
Steenderen,7221-7221,Bronckhorst,Gelderland
Steenenkamer,3882-3882,Putten,Gelderland
Steenenkamer,7439-7439,Voorst,Gelderland
Zandstraat,4551-4551,Terneuzen,Zeeland
Zuiddorpe,4574-4574,Terneuzen,Zeeland
Steenoven,4849-4849,Oosterhout,Noord-Brabant
Steenoven,5768-5768,Peel en Maas,Limburg
Anna Jacobapolder,4675-4675,Tholen,Zeeland
Steenpaal,4721-4721,Rucphen,Noord-Brabant
Steenplaats,3291-3291,Hoeksche Waard,Zuid-Holland
Steensel,5524-5524,Eersel,Noord-Brabant
Steenvak /,9131-9131,Noordoost-Friesland,Friesland
Stienfek,,,
Steenwijk,8331-8333,Steenwijkerland,Overijssel
Steenwijkerwold,8341-8341,Steenwijkerland,Overijssel
Steenwijksmoer,7741-7741,Coevorden,Drenthe
Stegen,5721-5721,Asten,Noord-Brabant
Stegeren,7737-7737,Ommen,Overijssel
Stegerveld,7737-7737,Ommen,Overijssel
Steggerda,8395-8395,Weststellingwerf,Friesland
Stein,2851-2851,Krimpenerwaard,Zuid-Holland
Stein,6171-6171,Stein,Limburg
Stellendam,3251-3251,Goeree-Overflakkee,Zuid-Holland
Stenenheul,4287-4287,Altena,Noord-Brabant
Stepelo,7482-7482,Haaksbergen,Overijssel
Sterkenburg,3972-3972,Utrechtse Heuvelrug,Utrecht
Sterksel,6029-6029,Heeze-Leende,Noord-Brabant
Sterreschans,6686-6686,Lingewaard,Gelderland
Steurgat,4251-4251,Altena,Noord-Brabant
Stevensbeek,5844-5844,Land van Cuijk,Noord-Brabant
Stevensweert,6107-6107,Maasgouw,Limburg
Stevert,5524-5524,Eersel,Noord-Brabant
Steyl,5935-5935,Venlo,Limburg
Stieltjeskanaal,7756-7756,Coevorden,Drenthe
Stiem,9133-9133,Noordoost-Friesland,Friesland
Stiens,9051-9051,Leeuwarden,Friesland
Stipdonk,5715-5715,Someren,Noord-Brabant
Stiphout,5708-5708,Helmond,Noord-Brabant
Stitswerd,9999-9999,Het Hogeland,Groningen
Stobben,9545-9545,Westerwolde,Groningen
Stokhem,6321-6321,Gulpen-Wittem,Limburg
Stokkelaarsbrug,1391-1391,De Ronde Venen,Utrecht
Stokkelen,5521-5521,Eersel,Noord-Brabant
Stokkum,7475-7475,Hof van Twente,Overijssel
Stokkum,7039-7039,Montferland,Gelderland
Stokske,5066-5066,Oisterwijk,Noord-Brabant
Stokt,5872-5872,Horst aan de Maas,Limburg
Stolpen,1751-1751,Schagen,Noord-Holland
Stolpervlotbrug,1751-1751,Schagen,Noord-Holland
Stolwijk,2821-2821,Krimpenerwaard,Zuid-Holland
Stolwijkersluis,2808-2851,Gouda,Zuid-Holland
Stommeveld,6243-6243,Meerssen,Limburg
Stompetoren,1841-1841,Alkmaar,Noord-Holland
Stompwijk,2266-2266,Leidschendam-Voorburg,Zuid-Holland
Stoof,4751-4751,Halderberge,Noord-Brabant
Stootshorn,9635-9635,Midden-Groningen,Groningen
Botshoofd,4698-4698,Tholen,Zeeland
Stork,9919-9919,Eemsdelta,Groningen
Stoutenburg,3835-3835,Leusden,Utrecht
Stoutenburg Noord,3836-3836,Amersfoort,Utrecht
Stox,5981-5981,Peel en Maas,Limburg
Straat,6044-6044,Roermond,Limburg
Strabrecht,5591-5591,Heeze-Leende,Noord-Brabant
Stramproy,6039-6039,Weert,Limburg
Strand,8749-8749,Zuidwest-Friesland,Friesland
Straten,5688-5688,Oirschot,Noord-Brabant
Strateris,6031-6031,Nederweert,Limburg
Streefkerk,2959-2959,Molenlanden,Zuid-Holland
Streek,9511-9511,Aa en Hunze,Drenthe
Strepen,5406-5406,Maashorst,Noord-Brabant
Streukel,8061-8061,Zwartewaterland,Overijssel
Strijbeek,4856-4856,Alphen-Chaam,Noord-Brabant
Strijen,3291-3291,Hoeksche Waard,Zuid-Holland
De Rand,4693-4693,Tholen,Zeeland
Strijensas,3292-3292,Hoeksche Waard,Zuid-Holland
Strijp,5735-5735,Laarbeek,Noord-Brabant
Strijp,2285-2285,Rijswijk,Zuid-Holland
Strikberg,4847-4847,Breda,Noord-Brabant
Stroe,3776-3776,Barneveld,Gelderland
Stroet,1744-1744,Schagen,Noord-Holland
Stroobos /,9871-9872,Achtkarspelen,Friesland
Strobos,,,
Het Oudeland,4691-4691,Tholen,Zeeland
Malland,4693-4693,Tholen,Zeeland
Strooiendorp,4765-4765,Moerdijk,Noord-Brabant
Molenvliet,4691-4691,Tholen,Zeeland
Mosselhoek,4691-4691,Tholen,Zeeland
Strubben,6088-6088,Leudal,Limburg
Strucht,6305-6305,Valkenburg aan de Geul,Limburg
Struikberg,7958-7958,De Wolden,Drenthe
